hotel,price,score,avg review,reviews count,comfort,distancia del centro,nivel de sostenibilidad,información habitación,Desayuno incluido,Cancelación incluida,Municipio,url,fecha_consulta
"HOTEL TOURS DONDE EL PAISA, UNA CUADRA de LA PLAYA",COP 60.000,"['7,3']",['Bien'],['26 comentarios'],[],['a 350 m del centro'],['Travel Sustainable Nivel 2'],[],"['Desayuno incluido', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
"CABAÑAS DONDE EL PAISA, vista al mar, acceso a la playa",COP 105.000,"['8,8']",['Fabuloso'],['4 comentarios'],[],"['a 0,9 km del centro']",[],[],"['Desayuno incluido', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
Cabaña - Arboletes,COP 750.000,[],[],[],[],"['a 4,1 km del centro']",[],[],"['Casa o chalet entero • 4 dormitorios • 1 sala de estar • 3 baños', 'Casa o chalet entero', '4 dormitorios', '1 sala de estar', '3 baños']",[],ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
HOTEL MALIVE,COP 130.000,"['6,7']",['Puntuación'],['10 comentarios'],[],['a 400 m del centro'],['Travel Sustainable Nivel 3'],[],[],[],ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
Apto Hogar Dulce Hogar ARBOLETES,COP 160.000,"['9,0']",['Fantástico'],['2 comentarios'],[],['a 350 m del centro'],[],[],[''],[],ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
Apto Casa Zeus Arboletes,COP 245.000,"['9,4']",['Fantástico'],['28 comentarios'],[],['a 150 m del centro'],['Travel Sustainable Nivel 3'],[],"['Apartamento entero • 2 dormitorios • 1 sala de estar • 3 baños • 1 cocina • 160m²', 'Apartamento entero', '2 dormitorios', '1 sala de estar', '3 baños', '1 cocina', '160m²']",[],ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
Apartamento Arboletes a 2 cuadras playa principal,COP 218.000,"['9,0']",['Fantástico'],['7 comentarios'],"['Ubicación 9,3']",['a 350 m del centro'],['Travel Sustainable Nivel 2'],[],[''],[],ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
Apartamento Esmeralda Arboletes,COP 200.000,"['9,1']",['Fantástico'],['8 comentarios'],"['Ubicación 9,4']",['a 350 m del centro'],['Travel Sustainable Nivel 1'],[],[''],[],ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
CABAÑAS TOURS DONDE EL PAISA,COP 270.000,[],[],[],[],"['a 0,9 km del centro']",[],[],['Desayuno incluido'],[],ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
DONDE...MONIK,COP 144.000,[],[],[],[],"['a 0,8 km del centro']",[],[],[],[],ARBOLETES,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=ARBOLETES&ssne=ARBOLETES&ssne_untouched=ARBOLETES&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-11-16
