hotel,price,score,avg review,reviews count,Municipio,url,fecha_consulta
AW Guatape Glamping Resort,COP 178.980,"['8,0']",['Muy bien'],['360 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Hotel Mumu Guatapé,COP 290.000,"['8,3']",['Muy bien'],['431 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Lake View Hostel,COP 40.000,"['8,4']",['Muy bien'],['761 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Oak Tree house,COP 91.800,"['9,0']",['Fantástico'],['1.245 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Soy Local Guatape,COP 162.000,"['8,6']",['Fabuloso'],['2.326 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Hotel Guatatur,COP 119.000,"['8,2']",['Muy bien'],['294 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Aptos Jardines del Lago 15B102,COP 127.460,[],[],[],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Aptos Jardines del Lago 8B201,COP 127.460,[],[],[],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Hotel Mansión Guatapé,COP 260.000,"['7,7']",['Bien'],['719 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
La Martinera Plaza Principal,COP 179.800,"['8,7']",['Fabuloso'],['506 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
